County,State,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander
Turner, Georgia,"4,889","3,424",63,66,7
Twiggs, Georgia,"4,942","3,567",74,36,8
Union, Georgia,"21,100",229,236,126,11
Upson, Georgia,"18,857","7,657",227,215,20
Walker, Georgia,"64,516","3,483",595,449,64
Walton, Georgia,"69,336","14,313",679,"1,391",156
Ware, Georgia,"24,654","10,897",329,418,55
Warren, Georgia,"2,159","3,394",34,26,4
Washington, Georgia,"9,706","11,111",80,143,12
Wayne, Georgia,"23,661","6,615",337,264,57
Webster, Georgia,"1,584","1,204",14,12,4
Wheeler, Georgia,"4,882","3,003",34,25,11
White, Georgia,"26,688",748,339,194,28
Whitfield, Georgia,"95,497","5,085","2,001","1,826",276
Wilcox, Georgia,"5,703","3,269",77,62,3
Wilkes, Georgia,"5,721","4,354",51,88,4
Wilkinson, Georgia,"5,809","3,714",82,61,6
Worth, Georgia,"15,130","6,543",127,133,26
Hawaii, Hawaii,"105,942","4,346","9,223","84,869","64,738"
Honolulu, Hawaii,"376,027","40,130","21,482","593,665","238,199"
Kalawao, Hawaii,38,4,5,12,46
Kauai, Hawaii,"35,151","1,171","1,901","34,916","17,712"
Maui, Hawaii,"82,412","2,725","4,186","74,677","43,657"
Ada, Idaho,"388,563","7,489","6,937","15,410","1,892"
Adams, Idaho,"3,842",21,79,26,6
Bannock, Idaho,"78,682","1,068","3,726","1,698",388
Bear Lake, Idaho,"5,818",29,68,40,4
Benewah, Idaho,"8,265",87,"1,054",77,17
Bingham, Idaho,"41,543",329,"3,776",547,107
Blaine, Idaho,"20,498",130,438,274,60
Boise, Idaho,"6,668",47,174,64,15
Bonner, Idaho,"39,705",209,896,421,97
Bonneville, Idaho,"103,665","1,207","2,212","1,613",291
Boundary, Idaho,"10,479",74,369,112,33
Butte, Idaho,"2,694",22,48,22,9
Camas, Idaho,"1,055",13,31,9,4
Canyon, Idaho,"186,633","2,249","5,528","3,323",989
Caribou, Idaho,"6,681",24,81,54,20
Cassia, Idaho,"22,568",187,557,259,70
Clark, Idaho,839,11,30,13,0
Clearwater, Idaho,"8,288",63,303,88,18
Custer, Idaho,"4,288",16,64,23,6
Elmore, Idaho,"24,182",979,783,"1,100",197
Franklin, Idaho,"12,644",64,194,47,23
Fremont, Idaho,"12,710",130,225,71,34
Gem, Idaho,"16,350",88,371,226,38
Gooding, Idaho,"14,722",118,406,181,47
Idaho, Idaho,"15,717",91,687,112,22
Jefferson, Idaho,"26,073",174,550,246,67
Jerome, Idaho,"21,675",178,693,171,54
Kootenai, Idaho,"138,335","1,069","3,763","2,092",417
Latah, Idaho,"36,593",506,734,"1,070",136
Lemhi, Idaho,"7,620",63,156,58,13
Lewis, Idaho,"3,636",34,287,35,11
Lincoln, Idaho,"5,143",48,117,38,10
Madison, Idaho,"36,705",327,386,691,203
Minidoka, Idaho,"19,404",185,633,202,38
Nez Perce, Idaho,"36,712",330,"2,887",531,116
Oneida, Idaho,"4,178",17,46,31,3
Owyhee, Idaho,"10,741",123,649,141,24
Payette, Idaho,"21,997",143,680,376,63
Power, Idaho,"7,455",97,319,71,23
Shoshone, Idaho,"12,357",74,376,110,29
Teton, Idaho,"9,922",59,119,65,22
Twin Falls, Idaho,"75,795",704,"1,744","1,419",229
Valley, Idaho,"9,361",45,181,73,12
Washington, Idaho,"9,735",69,244,143,28
Adams, Illinois,"64,168","3,204",355,646,39
Alexander, Illinois,"4,885","2,900",65,47,14
Bond, Illinois,"16,247","1,264",171,140,16
Boone, Illinois,"51,316","1,727",921,968,85
Brown, Illinois,"5,479","1,327",105,41,7
Bureau, Illinois,"33,586",461,268,346,26
Calhoun, Illinois,"4,987",22,16,15,1
Carroll, Illinois,"14,753",240,116,102,7
Cass, Illinois,"12,695",614,144,87,10
Champaign, Illinois,"156,767","28,577","1,626","21,611",463
Christian, Illinois,"33,738",733,158,277,25
Clark, Illinois,"16,120",138,81,82,5
Clay, Illinois,"13,544",133,75,110,3
Clinton, Illinois,"36,284","1,660",244,271,41
Coles, Illinois,"50,795","2,556",350,729,58
Cook, Illinois,"3,524,262","1,337,950","68,900","388,718","7,981"
Crawford, Illinois,"18,458","1,045",121,151,17
Cumberland, Illinois,"10,856",86,65,62,7
DeKalb, Illinois,"94,029","8,023",910,"3,372",135
De Witt, Illinois,"16,231",212,99,118,14
Douglas, Illinois,"19,606",203,118,146,11
DuPage, Illinois,"775,594","52,818","7,742","107,850","1,186"
Edgar, Illinois,"17,979",145,87,75,10
Edwards, Illinois,"6,655",55,33,34,1
Effingham, Illinois,"33,957",241,156,209,30
Fayette, Illinois,"20,894","1,095",125,117,20
Ford, Illinois,"13,784",169,96,83,13
Franklin, Illinois,"38,954",379,329,254,19
Fulton, Illinois,"34,924","1,532",341,205,28
Gallatin, Illinois,"5,390",55,46,17,2
Greene, Illinois,"13,437",180,55,38,4
Grundy, Illinois,"48,879",958,318,574,35
Hamilton, Illinois,"8,292",64,60,37,4
Hancock, Illinois,"18,715",143,103,84,16
Hardin, Illinois,"4,174",29,41,36,9
Henderson, Illinois,"6,999",54,41,31,5
Henry, Illinois,"48,867","1,246",341,349,37
Iroquois, Illinois,"28,708",464,210,200,15
Jackson, Illinois,"48,682","9,544",763,"2,632",122
Jasper, Illinois,"9,584",53,40,45,3
Jefferson, Illinois,"34,853","3,783",280,395,29
Jersey, Illinois,"22,423",230,181,154,16
Jo Daviess, Illinois,"22,257",238,118,131,20
Johnson, Illinois,"11,640","1,091",109,59,7
Kane, Illinois,"463,949","35,516","7,958","22,607",660
Kankakee, Illinois,"93,677","18,689",950,"1,476",123
Kendall, Illinois,"106,333","8,218",916,"4,733",123
Knox, Illinois,"47,603","4,839",444,563,55
Lake, Illinois,"594,338","56,946","9,476","53,884","1,274"
La Salle, Illinois,"109,146","3,146",824,"1,183",62
Lawrence, Illinois,"14,809","1,760",111,81,6
Lee, Illinois,"32,872","2,037",248,389,28
Livingston, Illinois,"36,183","2,261",222,304,19
Logan, Illinois,"27,321","2,571",220,311,22
McDonough, Illinois,"30,016","2,022",240,843,26
McHenry, Illinois,"293,672","5,435","2,617","10,092",288
McLean, Illinois,"150,149","15,303","1,205","9,361",195
Macon, Illinois,"89,824","20,463",726,"1,672",144
Macoupin, Illinois,"46,396",644,344,258,28
Madison, Illinois,"242,895","24,209","2,034","3,601",292
Marion, Illinois,"36,884","1,995",261,321,18
Marshall, Illinois,"12,155",86,79,93,5
Mason, Illinois,"14,195",138,107,73,7
Massac, Illinois,"14,189","1,054",146,81,10
Menard, Illinois,"12,488",191,97,67,5
Mercer, Illinois,"16,072",130,70,67,3
Monroe, Illinois,"32,950",173,194,238,21
Montgomery, Illinois,"28,512","1,092",129,153,16
Morgan, Illinois,"32,785","2,585",226,241,28
Moultrie, Illinois,"14,819",120,69,50,2
Ogle, Illinois,"51,820",843,349,403,49
Peoria, Illinois,"146,063","37,214","1,614","7,508",251
Perry, Illinois,"19,935","2,160",169,150,20
Piatt, Illinois,"16,316",156,95,102,10
Pike, Illinois,"15,893",345,89,59,12
Pope, Illinois,"3,948",299,47,14,1
Pulaski, Illinois,"3,946","2,036",67,33,5
Putnam, Illinois,"5,811",63,30,30,2
Randolph, Illinois,"29,430","3,452",191,170,42
Richland, Illinois,"15,920",162,91,182,5
Rock Island, Illinois,"129,331","16,219","1,692","3,916",197
St. Clair, Illinois,"181,611","85,295","2,145","5,412",496
Saline, Illinois,"23,725","1,258",245,195,31
Sangamon, Illinois,"170,796","27,126","1,375","4,490",188
Schuyler, Illinois,"7,208",263,27,33,0
Scott, Illinois,"5,238",45,27,21,1
Shelby, Illinois,"22,020",128,90,86,9
Stark, Illinois,"5,873",61,34,33,0
Stephenson, Illinois,"42,050","5,223",276,498,49
Tazewell, Illinois,"132,859","2,399",970,"1,548",95
Union, Illinois,"17,230",317,213,134,21
Vermilion, Illinois,"69,022","11,829",669,815,77
Wabash, Illinois,"11,520",163,84,113,10
Warren, Illinois,"17,089",545,145,255,27
Washington, Illinois,"14,428",197,55,81,16
Wayne, Illinois,"16,413",119,101,118,11
White, Illinois,"14,402",129,100,61,14
Whiteside, Illinois,"56,292","1,456",519,421,44
Will, Illinois,"564,875","84,480","5,735","38,181",652
Williamson, Illinois,"63,041","3,302",579,806,55
Winnebago, Illinois,"245,872","41,087","3,322","8,759",328
Woodford, Illinois,"38,386",423,219,321,16
Adams, Indiana,"34,033",264,193,113,13
Allen, Indiana,"303,265","50,218","3,908","12,576",665
Bartholomew, Indiana,"73,091","2,320",794,"3,877",120
Benton, Indiana,"8,740",110,45,26,4
Blackford, Indiana,"12,405",154,100,57,10
Boone, Indiana,"56,939","1,040",364,"1,468",43
Brown, Indiana,"14,861",156,159,88,7
Carroll, Indiana,"19,932",190,146,67,7
Cass, Indiana,"36,909","1,026",589,578,87
Clark, Indiana,"102,123","9,666",970,"1,494",162
Clay, Indiana,"26,551",255,179,118,15
Clinton, Indiana,"32,556",319,225,118,16
Crawford, Indiana,"10,518",99,97,39,9
Daviess, Indiana,"31,592",403,200,238,53
Dearborn, Indiana,"49,140",586,265,312,45
Decatur, Indiana,"25,636",205,172,329,20
De Kalb, Indiana,"41,684",382,282,279,37
Delaware, Indiana,"107,292","9,705",942,"1,767",202
Dubois, Indiana,"41,580",324,205,290,36
Elkhart, Indiana,"183,641","14,587","2,407","2,841",295
Fayette, Indiana,"23,497",478,130,118,7
Floyd, Indiana,"70,362","4,804",618,"1,051",71
Fountain, Indiana,"16,905",131,127,82,18
Franklin, Indiana,"22,826",139,124,82,13
Fulton, Indiana,"20,209",289,263,156,17
Gibson, Indiana,"32,611","1,029",248,218,25
Grant, Indiana,"63,549","5,961",624,749,68
Greene, Indiana,"32,653",179,247,164,17
Hamilton, Indiana,"261,876","13,395","1,453","17,499",330
Hancock, Indiana,"68,515","1,872",479,875,45
Harrison, Indiana,"38,612",386,285,254,26
Hendricks, Indiana,"138,347","9,487",973,"4,261",177
Henry, Indiana,"47,677","1,529",334,288,34
Howard, Indiana,"75,722","7,138",857,"1,145",106
Huntington, Indiana,"36,426",325,307,263,32
Jackson, Indiana,"41,927",575,329,617,71
Jasper, Indiana,"32,875",443,240,207,25
Jay, Indiana,"21,181",127,115,127,12
Jefferson, Indiana,"31,519",851,218,295,24
Jennings, Indiana,"27,773",369,180,127,17
Johnson, Indiana,"137,339","3,150","1,020","3,740",132
Knox, Indiana,"36,555","1,289",233,351,32
Kosciusko, Indiana,"75,757","1,062",587,"1,057",53
Lagrange, Indiana,"37,167",242,196,219,19
Lake, Indiana,"355,470","131,716","5,621","8,703",601
La Porte, Indiana,"97,682","13,747","1,030",975,115
Lawrence, Indiana,"45,407",358,448,332,29
Madison, Indiana,"118,084","12,322","1,137",975,130
Marion, Indiana,"637,902","268,783","11,008","26,061","1,472"
Marshall, Indiana,"46,224",570,399,362,42
Martin, Indiana,"10,168",56,69,47,2
Miami, Indiana,"34,265","1,989",623,244,27
Monroe, Indiana,"127,546","6,235","1,297","9,547",219
Montgomery, Indiana,"37,430",619,321,301,34
Morgan, Indiana,"68,489",572,532,461,42
Newton, Indiana,"13,854",140,124,60,17
Noble, Indiana,"46,756",494,341,325,35
Ohio, Indiana,"6,004",44,36,26,3
Orange, Indiana,"19,354",308,193,96,6
Owen, Indiana,"21,124",158,177,128,8
Parke, Indiana,"16,590",453,119,47,7
Perry, Indiana,"18,781",626,103,98,12
Pike, Indiana,"12,653",105,75,38,7
Porter, Indiana,"157,058","6,686","1,508","2,900",141
Posey, Indiana,"25,194",396,119,127,14
Pulaski, Indiana,"12,871",149,119,60,6
Putnam, Indiana,"35,690","1,684",275,363,37
Randolph, Indiana,"25,512",289,191,112,20
Ripley, Indiana,"28,143",204,231,214,15
Rush, Indiana,"16,882",220,84,71,10
St. Joseph, Indiana,"223,950","39,105","3,290","7,054",526
Scott, Indiana,"23,537",169,133,166,26
Shelby, Indiana,"43,471",727,302,396,107
Spencer, Indiana,"20,619",239,102,110,9
Starke, Indiana,"22,924",187,226,102,9
Steuben, Indiana,"33,598",382,221,286,28
Sullivan, Indiana,"20,165","1,032",169,87,10
Switzerland, Indiana,"10,298",89,67,41,8
Tippecanoe, Indiana,"156,852","9,722","1,483","13,064",253
Tipton, Indiana,"15,578",129,74,94,11
Union, Indiana,"7,255",78,58,39,6
Vanderburgh, Indiana,"161,010","19,539","1,309","2,946",271
Vermillion, Indiana,"15,834",109,98,59,11
Vigo, Indiana,"98,293","9,174",964,"2,439",133
Wabash, Indiana,"31,792",361,376,226,21
Warren, Indiana,"8,311",48,33,52,7
Warrick, Indiana,"58,356","1,245",376,"1,270",50
Washington, Indiana,"27,665",178,177,129,16
Wayne, Indiana,"63,838","4,602",649,848,180
Wells, Indiana,"27,351",262,184,158,15
White, Indiana,"24,049",258,268,151,27
Whitley, Indiana,"32,911",283,303,193,27
Adair, Iowa,"7,458",36,30,44,1
Adams, Iowa,"3,852",19,32,29,0
Allamakee, Iowa,"13,828",234,141,86,43
Appanoose, Iowa,"12,557",142,85,72,9
Audubon, Iowa,"5,812",41,23,35,4
Benton, Iowa,"25,597",245,117,116,12
Black Hawk, Iowa,"116,997","13,479","1,058","2,761",355
Boone, Iowa,"25,769",356,194,167,17
Bremer, Iowa,"23,998",335,106,263,13
Buchanan, Iowa,"20,712",201,117,123,8
Buena Vista, Iowa,"18,258",660,188,"1,518",179
Butler, Iowa,"14,854",114,64,74,7
Calhoun, Iowa,"9,673",222,56,44,6
Carroll, Iowa,"20,362",237,94,136,13
Cass, Iowa,"13,510",95,85,59,67
Cedar, Iowa,"18,200",170,110,148,20
Cerro Gordo, Iowa,"42,604",947,264,597,40
Cherokee, Iowa,"11,769",139,72,102,28
Chickasaw, Iowa,"12,168",93,36,55,5
Clarke, Iowa,"9,207",110,91,68,11
Clay, Iowa,"16,333",185,95,145,7
Clayton, Iowa,"17,725",149,76,84,29
Clinton, Iowa,"46,789","1,930",396,411,49
Crawford, Iowa,"16,560",391,229,212,55
Dallas, Iowa,"68,235","1,602",519,"2,603",108
Davis, Iowa,"8,654",43,50,46,7
Decatur, Iowa,"7,960",187,84,85,23
Delaware, Iowa,"17,455",117,61,78,12
Des Moines, Iowa,"37,625","2,783",341,446,51
Dickinson, Iowa,"16,789",82,77,122,8
Dubuque, Iowa,"90,794","3,220",546,"1,432",341
Emmet, Iowa,"9,700",145,239,104,19
Fayette, Iowa,"20,362",367,100,190,26
Floyd, Iowa,"15,592",291,71,268,10
Franklin, Iowa,"10,364",122,87,65,15
Fremont, Iowa,"7,042",70,55,38,5
Greene, Iowa,"9,055",78,67,58,9
Grundy, Iowa,"12,339",84,38,48,13
Guthrie, Iowa,"10,678",58,62,71,10
Hamilton, Iowa,"14,807",161,117,387,7
Hancock, Iowa,"11,023",102,59,83,11
Hardin, Iowa,"17,000",310,126,118,11
Harrison, Iowa,"14,393",81,104,66,7
Henry, Iowa,"18,975",643,171,582,42
Howard, Iowa,"9,511",71,42,43,9
Humboldt, Iowa,"9,621",106,55,53,8
Ida, Iowa,"7,046",39,42,34,1
Iowa, Iowa,"16,026",149,75,86,6
Jackson, Iowa,"19,363",202,104,107,122
Jasper, Iowa,"35,771",642,228,258,27
Jefferson, Iowa,"15,040",322,142,"1,512",14
Johnson, Iowa,"121,232","8,433","1,171","8,592",194
Jones, Iowa,"19,949",527,96,118,13
Keokuk, Iowa,"10,292",80,50,34,3
Kossuth, Iowa,"15,160",132,90,88,10
Lee, Iowa,"34,169","1,499",310,322,30
Linn, Iowa,"200,789","11,989","1,717","5,506",373
Louisa, Iowa,"10,928",135,105,236,15
Lucas, Iowa,"8,700",42,46,32,7
Lyon, Iowa,"11,684",57,62,40,5
Madison, Iowa,"15,446",114,99,98,6
Mahaska, Iowa,"21,832",374,158,311,14
Marion, Iowa,"32,552",395,204,485,23
Marshall, Iowa,"38,899","1,116",520,"1,136",90
Mills, Iowa,"14,666",126,140,90,17
Mitchell, Iowa,"10,643",53,40,39,5
Monona, Iowa,"9,002",77,148,35,7
Monroe, Iowa,"7,981",89,41,53,4
Montgomery, Iowa,"10,436",67,91,46,7
Muscatine, Iowa,"41,280","1,109",429,556,48
O''Brien, Iowa,"13,910",176,75,138,4
Osceola, Iowa,"6,118",46,45,33,8
Page, Iowa,"15,122",478,189,175,17
Palo Alto, Iowa,"9,170",80,72,57,6
Plymouth, Iowa,"24,547",220,173,174,36
Pocahontas, Iowa,"7,066",81,52,26,11
Polk, Iowa,"396,082","33,439","4,220","19,671",620
Pottawattamie, Iowa,"90,107","2,054","1,198",921,88
Poweshiek, Iowa,"18,131",326,147,376,29
Ringgold, Iowa,"5,038",39,26,32,2
Sac, Iowa,"10,082",81,56,39,12
Scott, Iowa,"151,494","15,349","1,849","4,691",233
Shelby, Iowa,"11,951",74,83,66,6
Sioux, Iowa,"33,629",405,224,340,16
Story, Iowa,"82,962","3,085",637,"6,456",78
Tama, Iowa,"15,973",187,"1,658",132,35
Taylor, Iowa,"6,140",40,31,35,7
Union, Iowa,"12,356",160,98,97,6
Van Buren, Iowa,"7,386",39,32,56,3
Wapello, Iowa,"34,042",847,476,403,93
Warren, Iowa,"46,210",513,283,419,40
Washington, Iowa,"21,558",310,163,154,22
Wayne, Iowa,"6,287",49,36,35,5
Webster, Iowa,"35,248","1,943",266,364,42
Winnebago, Iowa,"10,377",182,52,120,4
Winneshiek, Iowa,"20,626",240,74,287,9
Woodbury, Iowa,"93,948","4,027","3,777","3,131",311
Worth, Iowa,"7,405",68,50,44,5
Wright, Iowa,"12,805",131,99,91,22
Allen, Kansas,"12,845",453,278,117,17
Anderson, Kansas,"7,783",92,116,61,4
Atchison, Kansas,"15,750","1,086",261,126,23
Barber, Kansas,"4,788",58,69,37,1
Barton, Kansas,"26,752",646,433,140,36
Bourbon, Kansas,"14,194",610,306,122,17
Brown, Kansas,"8,794",260,"1,083",62,6
Butler, Kansas,"63,215","1,639","1,457",779,92
Chase, Kansas,"2,679",55,43,15,3
Chautauqua, Kansas,"3,358",83,273,22,4
Cherokee, Kansas,"20,049",306,"1,489",121,78
Cheyenne, Kansas,"2,651",14,13,20,1
Clark, Kansas,"2,116",37,38,33,3
Clay, Kansas,"8,395",88,97,49,10
Cloud, Kansas,"9,195",137,115,54,12
Coffey, Kansas,"8,307",109,145,62,4
Comanche, Kansas,"1,900",19,20,9,1
Cowley, Kansas,"33,679","1,477","1,483",734,71
Crawford, Kansas,"37,324","1,232",884,743,127
Decatur, Kansas,"2,846",30,29,15,0
Dickinson, Kansas,"19,319",411,314,145,33
Doniphan, Kansas,"7,472",329,196,38,8
Douglas, Kansas,"99,841","6,630","4,804","5,861",259
Edwards, Kansas,"2,857",66,67,23,1
Elk, Kansas,"2,615",34,80,21,3
Ellis, Kansas,"28,197",563,261,497,35
Ellsworth, Kansas,"6,065",356,97,55,3
Finney, Kansas,"34,040","1,396",714,"1,547",59
Ford, Kansas,"32,336","1,231",854,727,131
Franklin, Kansas,"25,088",603,584,186,21
Geary, Kansas,"28,977","8,237","1,049","2,076",430
Gove, Kansas,"2,691",26,14,17,3
Graham, Kansas,"2,439",132,57,28,3
Grant, Kansas,"7,622",102,241,50,5
Gray, Kansas,"5,908",62,65,25,3
Greeley, Kansas,"1,252",10,12,7,0
Greenwood, Kansas,"6,324",64,182,40,1
Hamilton, Kansas,"2,531",24,81,12,7
Harper, Kansas,"5,746",57,134,22,16
Harvey, Kansas,"33,563",939,643,403,42
Haskell, Kansas,"4,093",47,79,56,8
Hodgeman, Kansas,"1,923",34,11,12,1
Jackson, Kansas,"12,163",193,"1,426",84,10
Jefferson, Kansas,"18,518",207,406,80,21
Jewell, Kansas,"2,988",14,35,14,1
Johnson, Kansas,"504,599","32,429","6,398","29,413",686
Kearny, Kansas,"3,856",54,80,38,1
Kingman, Kansas,"7,717",58,111,64,3
Kiowa, Kansas,"2,437",29,43,27,1
Labette, Kansas,"19,579","1,312",935,194,46
Lane, Kansas,"1,665",27,40,9,1
Leavenworth, Kansas,"68,285","8,423","1,509","1,673",263
Lincoln, Kansas,"3,118",26,34,16,1
Linn, Kansas,"9,305",92,159,51,10
Logan, Kansas,"2,735",40,44,34,0
Lyon, Kansas,"31,267","1,257",745,"1,013",67
McPherson, Kansas,"28,587",564,396,278,40
Marion, Kansas,"12,122",165,206,64,13
Marshall, Kansas,"9,920",92,118,60,8
Meade, Kansas,"4,338",59,83,28,1
Miami, Kansas,"31,768",652,518,216,33
Mitchell, Kansas,"6,291",40,63,31,8
Montgomery, Kansas,"30,833","2,445","2,258",376,98
Morris, Kansas,"5,780",68,89,29,5
Morton, Kansas,"3,005",56,72,66,11
Nemaha, Kansas,"9,962",119,136,50,10
Neosho, Kansas,"15,903",303,386,144,11
Ness, Kansas,"3,026",30,48,8,0
Norton, Kansas,"5,383",201,47,50,4
Osage, Kansas,"15,946",177,267,80,14
Osborne, Kansas,"3,772",26,39,18,1
Ottawa, Kansas,"5,943",87,80,22,2
Pawnee, Kansas,"6,484",416,123,42,7
Phillips, Kansas,"5,427",58,66,46,0
Pottawatomie, Kansas,"21,655",499,435,296,35
Pratt, Kansas,"9,528",208,198,66,7
Rawlins, Kansas,"2,511",21,21,6,2
Reno, Kansas,"61,243","2,754","1,096",513,78
Republic, Kansas,"4,801",51,26,22,0
Rice, Kansas,"9,684",246,229,75,10
Riley, Kansas,"66,533","6,416","1,212","4,127",350
Rooks, Kansas,"5,142",56,43,28,3
Rush, Kansas,"3,169",31,41,9,2
Russell, Kansas,"6,791",124,89,65,4
Saline, Kansas,"52,070","2,881",845,"1,597",122
Scott, Kansas,"4,825",38,53,38,8
Sedgwick, Kansas,"425,285","56,919","14,111","25,171","1,010"
Seward, Kansas,"21,368","1,143",553,742,56
Shawnee, Kansas,"157,621","19,818","5,398","3,320",366
Sheridan, Kansas,"2,522",17,22,7,2
Sherman, Kansas,"5,976",100,77,70,10
Smith, Kansas,"3,706",34,42,15,4
Stafford, Kansas,"4,221",41,119,30,4
Stanton, Kansas,"2,111",34,59,13,5
Stevens, Kansas,"5,613",65,130,25,11
Sumner, Kansas,"23,047",420,622,119,15
Thomas, Kansas,"7,721",101,110,79,14
Trego, Kansas,"2,933",28,21,15,3
Wabaunsee, Kansas,"6,912",102,127,40,2
Wallace, Kansas,"1,511",24,17,2,0
Washington, Kansas,"5,658",57,57,33,6
Wichita, Kansas,"2,189",32,27,9,1
Wilson, Kansas,"8,895",101,252,65,16
Woodson, Kansas,"3,191",39,77,11,0
Wyandotte, Kansas,"110,616","43,262","4,263","5,704",524
Adair, Kentucky,"18,049",643,117,70,22
Allen, Kentucky,"19,920",311,172,72,12
Anderson, Kentucky,"21,077",592,133,162,23
Ballard, Kentucky,"8,042",325,70,37,4
Barren, Kentucky,"40,517","2,101",344,321,69
Bath, Kentucky,"11,567",241,72,38,12
Bell, Kentucky,"27,333",834,303,128,22
Boone, Kentucky,"116,079","4,556",835,"3,669",234
Bourbon, Kentucky,"18,637","1,443",145,113,12
Boyd, Kentucky,"47,335","1,823",378,329,29
Boyle, Kentucky,"26,390","2,530",236,316,27
Bracken, Kentucky,"8,400",90,59,17,4
Breathitt, Kentucky,"13,462",89,60,87,16
Breckinridge, Kentucky,"19,465",597,178,70,4
Bullitt, Kentucky,"74,421",973,700,602,56
Butler, Kentucky,"12,622",118,120,50,3
Caldwell, Kentucky,"12,177",780,89,59,7
Calloway, Kentucky,"35,266","1,727",295,850,38
Campbell, Kentucky,"87,328","3,348",560,"1,029",83
Carlisle, Kentucky,"4,949",89,55,21,1
Carroll, Kentucky,"10,627",334,96,72,11
Carter, Kentucky,"27,039",252,195,97,15
Casey, Kentucky,"15,862",182,116,51,8
Christian, Kentucky,"57,367","17,356","1,108","1,647",466
Clark, Kentucky,"33,693","2,066",238,237,19
Clay, Kentucky,"20,534","1,000",135,62,11
Clinton, Kentucky,"10,094",99,83,41,52
Crittenden, Kentucky,"9,131",104,77,30,12
Cumberland, Kentucky,"6,640",241,34,23,2
Daviess, Kentucky,"91,816","6,103",449,"1,005",158
Edmonson, Kentucky,"11,834",244,102,46,4
Elliott, Kentucky,"7,453",283,40,12,7
Estill, Kentucky,"14,400",72,108,25,3
Fayette, Kentucky,"247,035","49,952","2,757","12,813",492
Fleming, Kentucky,"14,237",278,64,53,6
Floyd, Kentucky,"38,609",472,179,105,7
Franklin, Kentucky,"43,054","6,177",450,921,43
Fulton, Kentucky,"4,838","1,698",53,67,2
Gallatin, Kentucky,"8,280",209,70,48,7
Garrard, Kentucky,"16,463",447,88,69,12
Grant, Kentucky,"24,139",355,159,130,46
Graves, Kentucky,"35,435","2,183",316,228,53
Grayson, Kentucky,"25,458",385,198,103,17
Green, Kentucky,"10,988",306,99,36,7
Greenup, Kentucky,"36,102",479,290,261,18
Hancock, Kentucky,"8,516",144,48,36,2
Hardin, Kentucky,"90,077","15,580","1,459","3,406",615
Harlan, Kentucky,"27,770",780,170,133,43
Harrison, Kentucky,"18,072",523,110,74,18
Hart, Kentucky,"17,460","1,017",109,74,10
Henderson, Kentucky,"42,389","4,253",267,301,39
Henry, Kentucky,"14,804",576,136,68,17
Hickman, Kentucky,"4,299",488,30,31,3
Hopkins, Kentucky,"43,144","3,742",304,371,61
Jackson, Kentucky,"13,231",51,65,41,7
Jefferson, Kentucky,"569,619","170,087","6,108","21,390","1,021"
Jessamine, Kentucky,"47,261","2,081",409,715,47
Johnson, Kentucky,"23,175",155,131,133,11
Kenton, Kentucky,"151,161","9,656","1,185","2,407",345
Knott, Kentucky,"15,860",197,84,31,4
Knox, Kentucky,"31,123",477,253,124,56
Larue, Kentucky,"13,565",529,137,57,15
Laurel, Kentucky,"58,387",696,563,423,33
Lawrence, Kentucky,"15,718",104,99,49,12
Lee, Kentucky,"7,175",152,63,15,0
Leslie, Kentucky,"11,068",68,54,27,1
Letcher, Kentucky,"23,801",157,118,53,5
Lewis, Kentucky,"13,752",85,81,20,1
Lincoln, Kentucky,"23,717",735,207,75,4
Livingston, Kentucky,"9,336",76,90,42,13
Logan, Kentucky,"24,637","2,107",248,115,26
Lyon, Kentucky,"7,926",503,68,38,6
McCracken, Kentucky,"57,541","8,068",603,799,69
McCreary, Kentucky,"16,824","1,126",283,59,24
McLean, Kentucky,"9,400",96,67,19,0
Madison, Kentucky,"79,629","4,615",851,"1,231",101
Magoffin, Kentucky,"12,982",57,97,21,0
Marion, Kentucky,"18,169","1,889",114,165,10
Marshall, Kentucky,"30,964",184,191,153,13
Martin, Kentucky,"11,811",902,85,29,7
Mason, Kentucky,"16,148","1,363",113,140,11
Meade, Kentucky,"27,591","1,437",442,414,88
Menifee, Kentucky,"6,126",198,40,16,1
Mercer, Kentucky,"20,348","1,021",183,135,33
Metcalfe, Kentucky,"9,771",205,56,32,2
Monroe, Kentucky,"10,549",315,59,20,6
Montgomery, Kentucky,"25,892",962,168,122,17
Morgan, Kentucky,"12,848",602,85,55,3
Muhlenberg, Kentucky,"29,707","1,669",186,91,12
Nelson, Kentucky,"41,718","2,667",252,323,43
Nicholas, Kentucky,"6,961",70,38,25,1
Ohio, Kentucky,"23,630",337,169,89,28
Oldham, Kentucky,"57,384","3,135",590,"1,156",100
Owen, Kentucky,"10,633",152,72,30,4
Owsley, Kentucky,"4,677",36,26,6,1
Pendleton, Kentucky,"14,427",134,93,55,8
Perry, Kentucky,"27,627",633,155,166,16
Pike, Kentucky,"63,209",603,264,398,27
Powell, Kentucky,"12,344",139,65,32,6
Pulaski, Kentucky,"62,252","1,054",518,430,41
Robertson, Kentucky,"2,197",17,21,3,0
Rockcastle, Kentucky,"16,932",84,155,31,7
Rowan, Kentucky,"22,778",524,136,238,13
Russell, Kentucky,"17,323",191,147,90,7
Scott, Kentucky,"45,524","3,248",365,628,55
